Space ID,space_name,space_network,space_domain,space_strategies
gitcoin012.eth,AAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
greatmetaverse.eth,Aave newDao,1,,"[{'type': 'erc20-balance-of', 'address': '0x6b175474e89094c44da98b954eedeac495271d0f', 'network': '1'}]"
hgx666.eth,AAVE-DAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
lendaave.eth,lendaave,1,,[]
lendhub.eth,AAVE-Matic,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
musktothemoon.eth,muAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
superens.eth,SuAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x248960a9d75edfa3de94f7193eae3161eb349a12', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x60d55f02a771d515e077c9c2403a1ef324885cec', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1a13f4ca1d028320a707d99520abfefca3998b7f', 'network': '137'}]"
superfamily.eth,suAAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
tanshello.eth,taAAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
toyota-motor.eth,AAVE,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
xixixi.eth,AAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
yydsens.eth,YyAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
